img_id,fold
train_1,3
train_10,3
train_100,4
train_101,1
train_102,2
train_103,2
train_104,4
train_105,1
train_106,1
train_107,3
train_108,3
train_109,1
train_11,0
train_110,0
train_111,1
train_112,2
train_113,1
train_114,2
train_115,2
train_116,3
train_117,0
train_118,1
train_119,4
train_12,0
train_120,0
train_121,0
train_122,4
train_123,2
train_124,2
train_125,3
train_126,2
train_127,4
train_128,3
train_129,4
train_13,0
train_130,2
train_131,3
train_132,2
train_133,0
train_134,0
train_135,0
train_136,1
train_137,2
train_138,4
train_139,2
train_14,3
train_140,2
train_141,3
train_142,1
train_143,4
train_144,2
train_145,3
train_146,3
train_147,2
train_148,0
train_149,2
train_15,2
train_150,0
train_151,3
train_152,1
train_153,4
train_154,3
train_155,3
train_156,0
train_157,4
train_158,2
train_159,4
train_16,4
train_160,2
train_161,3
train_162,4
train_163,4
train_164,1
train_165,0
train_166,0
train_167,1
train_168,0
train_169,0
train_17,2
train_170,4
train_171,0
train_172,1
train_173,1
train_18,3
train_19,2
train_2,4
train_20,2
train_21,3
train_22,0
train_23,0
train_24,1
train_25,4
train_26,4
train_27,3
train_28,3
train_29,4
train_3,2
train_30,1
train_31,1
train_32,2
train_33,3
train_34,3
train_35,2
train_36,0
train_37,1
train_38,4
train_39,4
train_4,2
train_40,2
train_41,4
train_42,3
train_43,4
train_44,2
train_45,2
train_46,0
train_47,4
train_48,0
train_49,1
train_5,0
train_50,1
train_51,2
train_52,3
train_53,0
train_54,0
train_55,3
train_56,3
train_57,1
train_58,1
train_59,2
train_6,2
train_60,4
train_61,1
train_62,4
train_63,4
train_64,4
train_65,0
train_66,3
train_67,1
train_68,0
train_69,4
train_7,0
train_70,1
train_71,1
train_72,0
train_73,1
train_74,1
train_75,1
train_76,4
train_77,4
train_78,2
trai
